"Component","D0_a","D0_b","D0_R2","D0_P001","D0_Obs","DBH_a","DBH_b","DBH_R2","DBH_P001","DBH_Obs","Species"
"Foliage","2.00603036127464","1.7347113341685","0.733422491542988","TRUE","16","3.97622699499008","0.538182219122508","0.618411256192188","FALSE","7","LALA"
"Stemwood/bark","2.83573556076436","2.38834607809022","0.932014453948449","TRUE","16","5.54109848102771","0.825854323275034","0.915787590596969","TRUE","7","LALA"
"Total biomass","3.60216726552352","2.21108294515739","0.915689821807188","TRUE","16","6.09682148717659","0.715146735562855","0.849812427493677","FALSE","7","LALA"
